ID,nom_scientifique,nom_commun,,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris
635,Carcharhinus leucas,Le requin-bouledogue,,140,300,350,0,155,,,Mangeur d’homme,"Côtier, remonte également dans les fleuves",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharhinus leucas (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/1801
636,Carcharhinus plumbeus,Le requin gris,,140,240,260,1,400,,,,"Surtout sur fond meuble, parfois pres des rochers",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," JABOULAY Annie, SITTLER Alain-Pierre, JAMME Stéphane in : DORIS, 29/11/2020 : Carcharhinus plumbeus (Nardo, 1827)",https://doris.ffessm.fr/ref/specie/1782
637,Carcharhinus limbatus,Le requin bordé,,140,300,340,0,50,,,Potentiellement aggressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre in : DORIS, 20/04/2022 : Carcharhinus limbatus (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/1665
638,Carcharhinus brachyurus,Le requin cuivre,,140,250,325,0,100,,,Parfois agressif en présence de nourriture,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
639,Carcharhinus brevipinna,Le requin-tisserand,,140,200,300,0,75,,,,Plutôt côtier,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
640,Carcharhinus isodon,Le requin a petites dents,,140,170,200,,,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
641,Carcharhinus longimanus,Le requoin océanique,,140,300,400,0,40,Souvent en surface,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," EPAILLY Olivier, MALIET Vincent, ROCHEFORT Gaël in : DORIS, 17/02/2021 : Carcharhinus longimanus (Poey, 1861)",https://doris.ffessm.fr/ref/specie/976
642,Carcharhinus falciformis,Le requin soyeux,,140,300,350,0,50,,,Parfois agressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PRADEAU Christophe, BOURGOIS Jean-Sébastien, MÜLLER Yves in : DORIS, 21/01/2021 : Carcharhinus falciformis (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/4524
643,Carcharhinus signatus,Le requin de nuit,,140,200,280,90,280,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,
644,Carcharhinus melanopterus,Le requin pointes noires,,140,150,180,0,30,,,,Côtes rocheuses et plages de sable,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LE BRIS Sylvain, MARAN Vincent in : DORIS, 07/05/2021 : Carcharhinus melanopterus (Quoy & Gaimard, 1824)",https://doris.ffessm.fr/ref/specie/2204
