,ID,nom_scientifique,nom_commun,citation_doris,lien_fiche_doris,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale
393,394,Gobius cruentatus,Le gobie à bouche rouge," BODILIS Pascaline, MARAN Vincent, PICHON Bernadette, LE BRIS Sylvain in : DORIS, 11/11/2020 : Gobius cruentatus Gmelin, 1789",https://doris.ffessm.fr/ref/specie/1987,85,13.0,15,10.0,30.0,Vivent sur le fond,,,,,,,,,,,
395,396,Gobius geniporus,Le gobie svelte," LAMARE Véronique, PASTOR Jérémy in : DORIS, 16/04/2021 : Gobius geniporus Valenciennes, 1837",https://doris.ffessm.fr/ref/specie/722,85,12.0,14,5.0,20.0,Vivent sur le fond,,,,,,,,,,,
397,398,Gobius fallax,Le gobie de sarato," DIDIERLAURENT Sylvie, BODILIS Pascaline in : DORIS, 25/01/2021 : Gobius fallax Sarato, 1889",https://doris.ffessm.fr/ref/specie/3378,85,7.0,9,1.0,20.0,Vivent sur le fond,,,,,,,,,,,
399,400,Gobius xanthocephalus,Le gobie à tête jaune," CHEVALLIER Frédérik, LE GRANCHÉ Philippe in : DORIS, 16/09/2022 : Gobius xanthocephalus Heymer & Zander, 1992",https://doris.ffessm.fr/ref/specie/674,85,7.0,8,5.0,20.0,Vivent sur le fond,,,,,,,,,,,
436,437,Pomatoschistus microps,Le gobie tacheté," DE CASAMAJOR Marie-Noëlle, DON Jérémy, BARRABES Michel in : DORIS, 09/11/2020 : Pomatoschistus microps (Krøyer, 1838)",https://doris.ffessm.fr/ref/specie/803,85,6.0,6.5,0.0,5.0,Vivent sur le fond,,,,,,,,,,,
437,438,Pomatoschistus marmoratus,Le gobie marbré," LE BRIS Sylvain, BODILIS Pascaline in : DORIS, 21/06/2022 : Pomatoschistus marmoratus (Risso, 1810)",https://doris.ffessm.fr/ref/specie/4704,85,6.0,6.5,1.0,20.0,Vivent sur le fond,,,,,,,,,,,
438,439,Pomatoschistus pictus,Le gobie varié," DE CASAMAJOR Marie-Noëlle, BARRABES Michel in : DORIS, 10/09/2022 : Pomatoschistus pictus (Malm, 1865)",https://doris.ffessm.fr/ref/specie/1862,85,5.0,5.5,0.5,20.0,Vivent sur le fond,,,,,,,,,,,
449,450,Pomatoschistus flavescens,Le gobie nageur," DE CASAMAJOR Marie-Noëlle, BARRABES Michel, BACHELET Guy, LE BRIS Sylvain in : DORIS, 10/09/2022 : Pomatoschistus flavescens (Fabricius, 1779)",https://doris.ffessm.fr/ref/specie/799,85,4.0,5,0.0,5.0,Vivent sur le fond,,,,,,,,,,,
452,453,Mullus surmuletus,Le rouget-barbet de roche," PETIT DE VOIZE Patrice, PEAN Michel, JEGLOT Samuel in : DORIS, 17/08/2022 : Mullus surmuletus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/500,86,25.0,30,3.0,80.0,Vivent sur le fond,,,,oui,,,,,,,
453,454,Mullus barbatus,Le rouget-barbet de vase," DIDIERLAURENT Sylvie, LAMARE Véronique, PASTOR Jérémy in : DORIS, 16/08/2022 : Mullus barbatus Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/579,86,18.0,23,30.0,300.0,Vivent sur le fond,,,,,,,,,,,
458,459,Chelidonichthys lastoviza,Le grondin camard," DIDIERLAURENT Sylvie, ROCHEFORT Gaël, LAMARE Véronique in : DORIS, 23/06/2022 : Chelidonichthys lastoviza (Bonnaterre, 1788)",https://doris.ffessm.fr/ref/specie/770,88,25.0,30,20.0,100.0,Vivent sur le fond,,,,,,,,,,,
459,460,Chelidonichthys lucerna,Le grondin-perlon," MARAN Vincent, ROCHEFORT Gaël, ZIEMSKI Frédéric in : DORIS, 09/11/2020 : Chelidonichthys lucerna (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/875,88,50.0,60,20.0,150.0,Vivent sur le fond,,,,,,,,,,,
468,469,Callionymus lyra,Le dragonnet lyre," SCAPS Patrick, MARAN Vincent, ZIEMSKI Frédéric in : DORIS, 04/09/2021 : Callionymus lyra Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/120,90,18.0,25,5.0,100.0,Vivent sur le fond,,,,,,,,,,,
474,475,Synodus saurus,Le poisson-lézard rayé," LE BRIS Sylvain, RIOS Joël in : DORIS, 11/11/2020 : Synodus saurus (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1988,91,25.0,30,5.0,50.0,Vivent sur le fond,,,,,,,,,,,
479,480,Trachinus draco,La grande vive," RIEHL Christian, PICHON Bernadette, ADER Denis, ANDRÉ Frédéric in : DORIS, 29/01/2021 : Trachinus draco Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/637,93,30.0,35,5.0,20.0,Vivent sur le fond,,"1ere nageoire dorsale venimeuse, piqure douloureuse",,,,,,,,,
486,487,Tripterygion delaisi,Le triptérygion jaune," FUSS Nathalie, CHARLET Anne, PICHON Bernadette, ADER Denis, HUET Sylvie in : DORIS, 12/03/2022 : Tripterygion delaisi Cadenat & Blache, 1970",https://doris.ffessm.fr/ref/specie/823,97,6.0,7,5.0,20.0,Vivent sur le fond,,,,,,,,,,,
487,488,Tripterygion tripteronotum,Le tripterygion rouge," RIGHELE Sébastien, CHARLET Anne, ADER Denis, SITTLER Alain-Pierre in : DORIS, 01/11/2020 : Tripterygion tripteronotum (Risso, 1810)",https://doris.ffessm.fr/ref/specie/512,97,6.0,7,0.0,3.0,Vivent sur le fond,,,,,,,,,,,
